name,nationality,wins,was_champion
Hu Yaozong,China,3,0
Carlos Huachin,Peru,10,0
Brady Huang,United States,11,0
Yuele Huang,China,13,0
Huang Feier,Puerto Rico,14,0
Austin Hubbard,United States,17,0
Collin Huckbody,United States,8,0
Alex Huddleston,United States,6,0
Roger Huerta,United States,23,0
Casey Huffman,United States,3,0
Matt Hughes,United States,45,1
Mark Hughes,United States,6,0
Jeff Hughes,United States,10,0
Sam Hughes,United States,9,0
Victor Hugo,Brazil,25,0
David Hulett,United States,22,0
Dominik Humburger,Czech Republic,8,0
Bryan Humes,United States,6,0
Abongo Humphrey,United States,7,0
Harry Hunsucker,United States,7,0
Mark Hunt,New Zealand,13,0
Alex Hunter,United States,2,0
Adam Hunter,Canada,7,0
Joe Hurley,United States,12,0
Solomon Hutcherson,United States,11,0
Young Hwang,Unlisted,8,0
Al Iaquinta,United States,14,0
Khadis Ibragimov,Russia,8,0
Minoki Ichihara,Japan,0,0
Dan Ige,United States,18,0
Valeri Ignatov,Bulgaria,1,0
Sergey Ignatov,Russia,0,0
Fabiano Iha,United States,9,0
Seichi Ikemoto,Japan,21,0
Mikhail Iloukhine,Unlisted,30,0
Zelim Imadaev,Russia,8,0
Yusuke Imamura,Japan,2,0
Masakazu Imanari,Japan,36,0
Nassourdine Imavov,France,16,0
Brad Imes,United States,13,0
Michael Imperato,Canada,12,0
Chris Indich,Australia,6,0
Chris Inman,United States,1,0
Guto Inocente,Brazil,7,0
Enson Inoue,Japan,12,0
Egan Inoue,United States,13,0
Katsuya Inoue,Japan,19,0
Takeshi Inoue,Japan,23,0
Naoki Inoue,Japan,11,0
Jorge Interiano,Unlisted,4,0
Jason Ireland,United States,19,0
James Irvin,United States,17,0
Eric Irvin,United States,11,0
Issa Isakov,Belgium,10,0
Mitsuhiro Ishida,Japan,20,0
Teruto Ishihara,Japan,10,0
Satoshi Ishii,Japan,15,0
Yuki Ishikawa,Japan,0,0
Eiji Ishikawa,Japan,29,0
Tokimitsu Ishizawa,Japan,1,0
Damir Ismagulov,Russia,24,0
Wallid Ismail,Brazil,9,0
Leandro Issa,Brazil,13,0
Blagoy Ivanov,Bulgaria,19,0
Anthony Ivy,United States,8,0
Tomomi Iwama,Japan,9,0
Tatsuya Iwasaki,Japan,0,0
Taiga Iwasaki,Japan,9,0
Saygid Izagakhmaev,Russia,22,0
Yoislandy Izquierdo,Cuba,10,0
Hiroshi Izumi,Japan,4,0
Yves Jabouin,Canada,20,0
Kevin Jackson,United States,4,0
Eugene Jackson,United States,15,0
Quinton Jackson,United States,37,1
Jeremy Jackson,United States,9,0
Damon Jackson,United States,23,0
Kenyon Jackson,United States,4,0
Mike Jackson,United States,1,0
Jason Jackson,Jamaica,7,0
Montel Jackson,United States,14,0
Eric Jacob,United States,1,0
Richard Jacobi,Brazil,6,0
Dustin Jacoby,United States,20,0
Justin James,United States,13,0
Nate James,United States,14,0
Virna Jandiroba,Brazil,21,0
Ryan Janes,Canada,10,0
Josh Janousek,United States,8,0
Dave Jansen,United States,20,0
Jaime Jara,United States,38,0
Gigo Jara,United States,6,0
Keith Jardine,United States,17,0
Brock Jardine,United States,12,0
Josh Jarvis,United States,1,0
Rony Jason,Brazil,14,1
Jasmine Jasudavicius,Canada,13,0
Louis Jauregui,Unlisted,4,0
Yazmin Jauregui,Mexico,11,0
Justin Jaynes,United States,16,0
Joanna Jedrzejczyk,Poland,16,1
Aaron Jeffery,Canada,10,0
Trent Jenkins,United States,0,0
Bubba Jenkins,Germany,11,0
Adrienna Jenkins,United States,19,0
Brandon Jenkins,United States,15,0
Jack Jenkins,Australia,13,0
Steve Jennum,United States,2,0
Ryan Jensen,United States,21,0
Kyle Jensen,United States,4,0
Chan-Mi Jeon,Puerto Rico,5,0
Maciej Jewtuszko,Poland,12,0
Ronald Jhun,United States,24,0
Baergeng Jieleyisi,United States,18,0
Gilbert Jimenez,United States,8,0
Art Jimmerson,United States,0,0
Ryan Jimmo,Canada,19,0
Jinensibieke Asikeerbai,China,36,0
Jiniushiyue,Unlisted,13,0
Sung Bin Jo,South Korea,9,0
Carls John De Tomas,Philippines,6,0
Phil Johns,United States,30,0
Brett Johns,Wales,17,0
Miles Johns,United States,15,0
Anthony Johnson,United States,22,0
DaMarques Johnson,United States,15,0
Devin Johnson,United States,1,0
Travis Johnson,United States,0,0
Ricky Johnson,United States,10,0
Tony Johnson,United States,11,0
Lavar Johnson,United States,18,0
Demetrious Johnson,United States,27,1
Michael Johnson,United States,24,0
Deshaun Johnson,United States,6,0
Kajan Johnson,Canada,23,0
Dashon Johnson,United States,9,0
Timothy Johnson,United States,12,0
Jordan Johnson,United States,10,0
Taylor Johnson,United States,5,0
Chad Johnson,United States,6,0
Jose Johnson,United States,16,0
Charles Johnson,United States,17,0
Brian Johnston,United States,5,0
Liana Jojua,Georgia,8,0
Daniel Jolly,United States,5,0
Paul Jones,United States,11,0
Jon Jones,United States,28,1
Nathan Jones,Australia,0,0
Marcus Jones,United States,4,0
Carlton Jones,United States,1,0
Jesse Jones,United States,2,0
Tito Jones,United States,11,0
Roy Jones,United States,7,0
Justin Jones,United States,9,0
Ben Jones,United States,4,0
Victor Jones,United States,1,0
Chris Jones,United States,10,0
Roshaun Jones,United States,2,0
Jamelle Jones,United States,7,0
Antonio Jones,Unlisted,6,0
Trevin Jones,Guam,13,0
Mason Jones,Wales,11,0
Craig Jones,England,0,0
Jacobi Jones,United States,6,0
Jocelyn Jones-Lybarger,United States,6,0
Kevin Jordan,United States,11,0
Joe Jordan,United States,49,0
Shawn Jordan,United States,19,0
Ivan Jorge,Brazil,27,0
Scott Jorgensen,United States,15,0
Gareth Joseph,United States,9,0
Dwight Joseph,United States,5,0
Jeff Joslin,Canada,5,0
Krzysztof Jotko,Poland,24,0
Alan Jouban,United States,17,0
Charles Jourdain,Canada,16,0
Kevin Jousset,New Zealand,10,0
Mike Joy,United States,11,0
Dustin Joynson,Canada,5,0
Tony Juarez,United States,1,0
Jesse Juarez,United States,23,0
Ernie Juarez,United States,8,0
Anshul Jubli,India,7,1
Carli Judice,United States,3,0
Steve Judson,United States,0,0
Luke Jumeau,New Zealand,13,0
Bu-Kyung Jung,South Korea,0,0
Chan Sung Jung,South Korea,17,0
Young Sam Jung,South Korea,4,0
Da Woon Jung,South Korea,15,0
Scott Junk,United States,8,0
Myles Jury,United States,17,0
Cristiane Justino,Brazil,21,1
Patrick Kaase,United States,1,0
Emily Kagan,United States,3,0
Oron Kahlon,Israel,16,0
Kaiwen,Unlisted,12,0
Sirwan Kakai,Sweden,12,0
Saidyokub Kakhramonov,United States,10,0
Geza Kalman,Canada,4,0
Bryson Kamaka,United States,12,0
Kai Kamaka,Puerto Rico,8,0
Shuya Kamikubo,Japan,13,0
Martin Kampmann,Denmark,20,0
Koya Kanda,Unlisted,12,0
Bharat Kandare,Unlisted,5,0
Hiromitsu Kanehara,Japan,19,0
Masanori Kanehara,Japan,26,0
Ken Kaneko,Japan,0,0
Denis Kang,Canada,35,0
Kyung Ho Kang,South Korea,19,0
Manel Kape,Angola,20,0
David Kaplan,United States,3,0
Kai Kara-France,New Zealand,25,0
Georgi Karakhanyan,United States,26,0
Alex Karalexis,United States,10,0
Ernesta Kareckaite,Lithuania,6,0
Impa Kasanganay,United States,9,0
Jinnosuke Kashimura,Japan,4,0
Nadia Kassem,Australia,5,0
Yusuke Kasuya,Japan,9,0
Tetsuji Kato,Japan,20,0
Hisaki Kato,Japan,8,0
Brad Katona,Canada,16,1
Calvin Kattar,United States,23,0
Sarah Kaufman,Canada,18,0
Lone'er Kavanagh,England,8,0
Yusuke Kawaguchi,Japan,18,0
Canaan Kawaihae,United States,6,0
Tatsuya Kawajiri,Japan,36,0
Ryo Kawamura,Japan,18,0
Masuto Kawana,Japan,10,0
Doug Kay,United States,0,0
Toshiomi Kazama,Japan,11,0
Julie Kedzie,United States,16,0
Ryan Keenan,United States,6,0
CJ Keith,United States,8,0
Chris Kelades,Canada,9,0
Brian Kelleher,United States,24,0
Mayana Kellem,Unlisted,7,0
Tony Kelley,United States,8,0
Paul Kelly,England,14,0
John Kelly,United States,5,0
Daniel Kelly,Australia,13,0
Tim Kennedy,United States,18,0
Steve Kennedy,Australia,24,0
Jeremy Kennedy,Canada,11,0
Waylon Kennell,United States,6,0
Casey Kenney,United States,16,0
Maimaitituoheti Keremuaili,Unlisted,26,0
Aurelijus Kerpe,Lithuania,11,0
Mark Kerr,United States,15,0
Will Kerr,United States,9,0
Ron Keslar,United States,11,0
Rustam Khabilov,Russia,24,0
Adam Khaliev,Russia,6,0
Sergey Khandozhko,Russia,28,0
Sergei Kharitonov,Russia,26,0
Alfred Khashakyan,United States,8,0
Aliaskhab Khizriev,Russia,14,0
WonBin Ki,Unlisted,18,0
Pannie Kianzad,Sweden,17,0
Akira Kikuchi,Japan,16,0
Katsunori Kikuno,Japan,24,0
Sanae Kikuta,Japan,31,0
Jacob Kilburn,United States,8,0
Dong Hyun Kim,South Korea,22,0
Jin Oh Kim,South Korea,0,0
Dae Won Kim,South Korea,11,0
Jong Wang Kim,South Korea,13,0
Jong Won Kim,South Korea,0,0
Min Soo Kim,South Korea,3,0
Jong Man Kim,South Korea,23,0
Ji Yeon Kim,South Korea,9,0
MinWoo Kim,Unlisted,10,0
HanSeul Kim,Puerto Rico,13,0
KyeungPyo Kim,Puerto Rico,11,0
Sangwook Kim,Puerto Rico,9,0
SangWon Kim,Unlisted,10,0
KyuSung Kim,Unlisted,12,0
So Yul Kim,South Korea,8,0
Jeremy Kimball,United States,15,0
Rob Kimmons,United States,25,0
Dustin Kimura,United States,11,0
Taiei Kin,Japan,6,0
Mike King,United States,5,0
Kyle Kingsbury,United States,11,0
Yusaku Kinoshita,Japan,6,0
Kamuela Kirk,United States,12,0
Yurij Kiseliov,Unlisted,5,0
Justine Kish,United States,7,0
Koji Kitao,Japan,1,0
Satoru Kitaoka,Japan,40,0
Top Noi Kiwram,Japan,9,0
Ludovit Klein,Slovakia,23,0
Nick Klein,United States,6,0
Seth Kleinbeck,United States,8,0
Stefan Klever,Holland,6,0
Fatima Kline,United States,7,0
Felix Klinkhammer,Germany,7,0
Drakkar Klose,United States,15,0
Michael Knaap,Netherlands,18,0
Kevin Knabjian,United States,12,0
Jason Knight,United States,20,0
William Knight,United States,11,0
Josefine Knutsson,Sweden,8,0
Seokhyeon Ko,Puerto Rico,11,0
Isao Kobayashi,Japan,21,0
Kelly Kobold,Puerto Rico,19,0
Erik Koch,United States,16,0
Sokun Koh,Japan,4,0
Shingo Kohara,United States,1,0
Brad Kohler,United States,12,0
Charlie Kohler,United States,8,0
Tsuyoshi Kohsaka,Unlisted,27,0
Kaloyan Kolev,Bulgaria,10,0
John Kolosci,United States,15,0
Yuki Kondo,Japan,60,0
Syuri Kondo,Japan,6,0
Cheick Kongo,France,27,0
Andrei Kopylov,Russia,6,0
Roman Kopylov,Russia,14,0
Bruno Korea,Brazil,7,0
Andrey Koreshkov,Russia,19,0
Josh Koscheck,United States,17,0
Steven Koslow,United States,6,0
Naoyuki Kotani,Japan,34,0
Ilya Kotau,United States,1,0
Iouri Kotchkine,Unlisted,7,0
Matt Kovacs,United States,12,0
Marcus Kowal,United States,3,0
Karolina Kowalkiewicz,Poland,16,0
Steve Kozola,United States,8,0
Derrick Krantz,United States,22,0
James Krause,United States,28,0
Pascal Krauss,Germany,11,0
Rene Kronvold,United States,5,0
Kaynan Kruschewsky,Brazil,15,0
Jorgen Kruth,Sweden,5,0
Nikita Krylov,Ukraine,30,0
Mariusz Ksiazkiewicz,Canada,8,0
Junya Kudo,Japan,10,0
John Kuhner,United States,1,0
Michael Kuiper,Netherlands,15,0
Anton Kuivanen,Finland,24,0
Maiju Kujala,Puerto Rico,6,0
Sumit Kumar,India,8,0
Aleksei Kunchenko,Russia,20,0
Rizvan Kuniev,Russia,12,0
Keigo Kunihara,Japan,3,0
Kiichi Kunimoto,Japan,18,0
Leo Kuntz,United States,18,0
Korey Kuppe,United States,8,0
Ramazan Kuramagomedov,Russia,8,0
Tsuyoshi Kurihara,Japan,10,0
Eldari Kurtanidze,Georgia,0,0
Kyle Kurtz,United States,7,0
Guram Kutateladze,Georgia,13,0
Vadym Kutsyi,Belarus,17,0
Lina Kvokov,Puerto Rico,0,0
Kaleo Kwan,United States,11,0
Jarrod Kwitty,United States,2,0
Mike Kyle,United States,22,0
Lisa Kyriacou,Australia,7,0
Achmed Labasanov,Russia,7,0
Josh LaBerge,United States,11,0
Jeremiah Labiano,United States,11,0
Daniel Lacerda,Brazil,11,0
Luan Lacerda,Brazil,12,0
Kemran Lachinov,United States,3,0
Aspen Ladd,United States,9,0
Ryan LaFlare,United States,14,0
Corinne Laframboise,Canada,8,0
Ben Lagman,United States,6,0
Noad Lahat,United States,11,0
Tina Lahdemaki,Finland,5,0
Yohan Lainesse,Canada,9,0
Tim Lajcik,United States,7,0
Todd Lally,United States,2,0
Sean Lally,United States,7,0
Ricardo Lamas,United States,20,0
Jason Lambert,United States,26,0
Jose Landi-Jons,Brazil,29,0
Nate Landwehr,United States,18,0
Austen Lane,United States,13,0
Aaron Lanfranco,United States,5,0
Jeremy Lang,United States,21,0
Lionel Lanham,United States,5,0
Lina Lansberg,Sweden,10,0
Taylor Lapilus,France,21,0
Chad Laprise,Canada,13,1
Anthony Lapsley,United States,23,0
TJ Laramie,Puerto Rico,12,0
Icho Larenas,Argentina,6,0
Lorenz Larkin,United States,18,0
Jeremy Larsen,United States,8,0
Brock Larson,United States,42,0
Ryan Larson,United States,6,0
Bobby Lashley,United States,15,0
Ilir Latifi,Sweden,17,0
Sione Latu,United States,1,0
Phillip Latu,United States,6,0
Jenel Lausa,Philippines,7,0
Joe Lauzon,United States,28,0
Dan Lauzon,United States,17,0
Sandra Lavado,Peru,10,0
Chatt Lavender,United States,9,0
Muhammed Lawal,United States,21,0
Robbie Lawler,United States,30,1
Tom Lawlor,United States,10,0
Justin Lawrence,United States,10,0
Lance Lawrence,United States,4,0
Ronnie Lawrence,United States,8,0
Eric Lawson,United States,9,0
Jimmy Lawson,United States,4,0
Valmir Lazaro,Brazil,15,0
Zviad Lazishvili,Georgia,13,0
Mounir Lazzez,Tunisia,11,0
Cung Le,United States,9,0
Thanh Le,United States,6,0
Quang Le,Vietnam,8,0
Carlos Leal,Puerto Rico,21,0
Jordan Leavitt,United States,11,0
Jerome LeBanner,Puerto Rico,3,0
Chris Leben,United States,22,0
Mickael Lebout,France,16,0
Stephen Ledbetter,United States,8,0
Justin Ledet,United States,9,0
James Lee,United States,15,0
David Lee,England,12,0
Jackie Lee,United States,0,0
Eun Soo Lee,South Korea,17,0
Tae Hyun Lee,South Korea,1,0
Tommy Lee,United States,25,0
Matt Lee,United States,14,0
Imani Lee,United States,2,0
Vaughan Lee,England,14,0
Kevin Lee,United States,18,0
Rocky Lee,Taiwan,3,0
Andrea Lee,United States,13,0
JeongYeong Lee,South Korea,11,1
JungHyun Lee,Unlisted,8,0
ChangHo Lee,South Korea,10,0
Ricky Legere Jr.,United States,14,0
Sherron Leggett,United States,21,0
Cheyden Leialoha,United States,6,0
Claudia Leite,Brazil,8,0
Thales Leites,Brazil,28,0
Stefan Leko,Germany,0,0
Gabe Lemley,United States,13,0
Amanda Lemos,Brazil,14,0
Giacomo Lemos,Brazil,6,0
Christophe Leninger,United States,3,0
Jesse Lennox,United States,14,0
Jean Francois Lenogue,Cuba,16,0
Nik Lentz,United States,30,0
Alberta Cerra Leon,Spain,0,0
Victoria Leonardo,United States,9,0
Anthony Leone,United States,15,0
Chad Leonhardt,United States,9,0
Kimo Leopoldo,United States,10,0
Michael Lerma,United States,0,0
Lukasz Les,Poland,8,0
Brock Lesnar,United States,5,1
Frank Lester,United States,11,0
Valerie Letourneau,Canada,8,0
Leah Letson,United States,5,0
Justin Levens,United States,10,0
Marcus LeVesseur,United States,22,0
David Levicki,United States,1,0
Kyle Levinton,United States,0,0
Natan Levy,Israel,8,0
John Lewis,United States,3,0
Derrick Lewis,United States,28,0
Bevon Lewis,United States,7,0
Brandon Lewis,United States,6,0
Malik Lewis,United States,6,0
Chi Lewis-Parry,England,7,0
Li Jingliang,China,19,0
Li Yunfeng,China,9,0
Liang Na,Puerto Rico,19,0
Jess Liaudin,France,20,0
Chuck Liddell,United States,21,1
Rodrigo Lidio,Brazil,12,0
Sam Liera,United States,12,0
Zach Light,United States,9,0
Scott Lighty,United States,6,0
Chris Liguori,United States,15,0
Donnie Liles,United States,17,0
Jae Suk Lim,South Korea,17,0
Hyun Gyu Lim,South Korea,13,0
Juliana Lima,Brazil,9,0
Dhiego Lima,Brazil,17,0
Douglas Lima,Brazil,29,0
Mabelly Lima,Brazil,7,0
Andre Lima,Brazil,10,0
Felipe Lima,Brazil,14,0
Miguel Linares,Spain,2,0
Emiliano Linares,Ecuador,8,0
Matt Lindland,United States,22,0
Jake Lindsey,United States,12,0
John Lineker,Brazil,31,0
Austin Lingo,United States,9,0
Lucio Linhares,Brazil,19,0
Philipe Lins,Brazil,18,0
Tainara Lisboa,Brazil,7,0
Dean Lister,United States,13,0
Wesley Little,United States,4,0
James Llontop,Peru,14,0
Abner Lloveras,Spain,20,0
Brian Lo-A-Njoe,Netherlands,6,0
John Lober,United States,5,0
Artem Lobov,Ireland,13,0
Dylan Lockard,United States,6,0
Ryan Loder,United States,8,0
Sean Loeffler,United States,31,0
Christian Lohsen,United States,4,0
David Loiseau,Canada,23,0
Hector Lombard,Cuba,34,0
Michael Lombardo,United States,11,0
Rocky Long,United States,21,0
Thomas Longacre,United States,6,0
Loma Lookboonmee,Thailand,9,0
Ange Loosa,"Congo, The Democratic Republic of the",10,0
Lucas Lopes,United States,29,0
Dileno Lopes,Brazil,19,0
Diego Lopes,Brazil,26,0
Bruno Lopes,Brazil,14,0
Arthur Lopes,Brazil,6,0
Ivan Lopez,Mexico,14,0
Steve Lopez,United States,13,0
Federico Lopez,United States,10,0
Jorge Lopez,Mexico,11,0
Christopher Lopez,United States,9,0
Matthew Lopez,United States,10,0
Benito Lopez,United States,10,0
Gustavo Lopez,United States,12,0
Brendan Loughnane,England,17,0
Nate Loughran,United States,11,0
Caolan Loughran,Ireland,9,0
Rashard Lovelace,United States,4,0
Ian Loveland,United States,18,0
Jakob Lovstad,Norway,11,0
Waylon Lowe,United States,16,0
Brandon Lowe,United States,2,0
Joe Lowry,Unlisted,9,0
Lu Kai,New Zealand,8,0
Lu Zhengyong,China,12,0
Robert Lucarelli,United States,0,0
Matt Lucas,United States,15,0
Cleber Luciano,United States,14,0
Stephanie Luciano,Brazil,6,0
Iasmin Lucindo,Brazil,17,0
Duane Ludwig,United States,21,0
Mike Lullo,United States,8,0
Paula Luna,Peru,5,0
Dalcha Lungiambula,South Africa,11,0
Alexandru Lungu,Romania,14,0
Vicente Luque,United States,23,0
Thaddeus Luster,United States,0,0
Travis Lutter,United States,10,1
Joilton Lutterbach,Brazil,38,0
Tucker Lutz,United States,12,0
Lv Zhenhong,Russia,16,0
Stevie Lynch,Puerto Rico,5,0
Adam Lynn,United States,17,0
Chris Lytle,United States,31,0
Dong Hyun Ma,South Korea,16,0
Pawan Maan,Puerto Rico,7,0
William Macario,Brazil,9,0
Jason MacDonald,Canada,25,0
Rob MacDonald,Canada,5,0
Rory MacDonald,Canada,19,0
Ryan MacDonald,United States,10,0
Clayton MacFarlane,United States,4,0
Ilima Macfarlane,Puerto Rico,6,0
Valesca Machado,Brazil,8,0
Caio Machado,Brazil,8,0
Ian Machado Garry,Ireland,15,0
Lyoto Machida,Brazil,24,1
War Machine,United States,14,0
Anthony Macias,United States,26,0
Pauline Macias,United States,4,0
Reza Madadi,Iran,14,0
Don Madge,South Africa,9,0
Ryan Madigan,United States,5,0
Victor Madrigal,Mexico,15,0
Jon Madsen,United States,8,0
Mark Madsen,Unlisted,12,0
Yoshiro Maeda,Japan,35,0
Leonardo Mafra,Brazil,13,0
Vinny Magalhaes,Brazil,14,0
Vinicius Magalhaes,Brazil,2,0
Caio Magalhaes,Brazil,10,0
Bernardo Magalhaes,Brazil,13,0
Eric Magana,Unlisted,1,0
Brandon Magana,United States,6,0
Angela Magana,United States,11,0
Neil Magny,United States,29,0
Raimond Magomedaliev,Russia,10,0
Ibragim Magomedov,Russia,22,0
Rashid Magomedov,Russia,20,0
Ruslan Magomedov,Russia,14,0
Abus Magomedov,Puerto Rico,27,0
Shara Magomedov,Russia,15,0
Zabit Magomedsharipov,Russia,18,0
John Maguire,England,24,0
Lolohea Mahe,United States,10,0
Michelle Maher,United States,1,0
Maheshate,Puerto Rico,10,0
Bill Mahood,Canada,20,0
Klayton Mai,United States,8,0
Demian Maia,Brazil,28,0
Jennifer Maia,Brazil,21,0
Nayara Maia,Brazil,7,0
Roshan Mainam,Puerto Rico,6,0
Levan Makashvili,United States,15,0
John Makdessi,Canada,18,0
Islam Makhachev,Russia,27,1
Aliev Makhmud,Azerbaijan,0,0
Zach Makovsky,United States,20,0
Azat Maksum,Kazakhstan,17,0
Jeremy Malaterre,United States,4,0
Fabio Maldonado,Brazil,23,0
Marvin Maldonado,United States,2,0
Bea Malecki,Sweden,4,0
Nazareno Malegarie,Argentina,28,0
Carl Malenko,United States,6,0
Jacob Malkoun,Australia,8,0
Mike Malott,Canada,11,0
Dan Manasoiu,Unlisted,0,0
Troy Mandaloniz,United States,3,0
Nate Maness,United States,16,0
Michael Mangan,Unlisted,0,0
Gary Mangat,Puerto Rico,15,0
Melvin Manhoef,Netherlands,30,0
Melchor Manibusan,United States,2,0
Jon Manley,United States,9,0
Steve Mann,Unlisted,12,0
Marnic Mann,United States,6,0
Dylan Mantello,United States,8,0
Chris Manuel,United States,9,0
Jimi Manuwa,England,17,0
Cristiano Marcello,Brazil,13,0
Daniel Marcos,Peru,17,0
Jose Maria,Unlisted,37,0
Marcos Mariano,Brazil,6,0
Enrique Marin,Spain,10,0
Chepe Mariscal,Unlisted,17,0
Ronny Markes,Brazil,17,0
Rory Markham,United States,17,0
Randa Markos,Canada,11,0
Christina Marks,United States,8,0
Brendon Marotte,United States,8,0
Nate Marquardt,United States,35,0
Danilo Marques,Brazil,11,0
Julian Marquez,United States,9,0
Carmelo Marrero,United States,16,0
Cesar Marscucci,Puerto Rico,3,0
John Marsh,United States,8,0
CJ Marsh,Brazil,5,0
Eliot Marshall,United States,10,0
Doug Marshall,United States,18,0
David Marshall,United States,8,0
Francis Marshall,United States,8,0
Jack Marshman,Wales,23,0
Terry Martin,United States,23,0
Eric Martin,United States,0,0
Justin Martin,United States,4,0
Dave Martin,Unlisted,0,0
Joe Martin,United States,6,0
Anthony Rocco Martin,United States,17,0
Mallory Martin,United States,7,0
Michal Martinek,Czech Republic,7,0
Rainy Martinez,United States,0,0
Danny Martinez,United States,21,0
Alonzo Martinez,United States,42,0
Henry Martinez,United States,9,0
Jonathan Martinez,United States,19,0
Poppies Martinez,United States,29,0
Andrew Martinez,United States,9,0
Mana Martinez,United States,10,0
Victor Martinez,United States,13,0
Roque Martinez,Guam,15,0
Melissa Martinez,Mexico,8,0
Julieta Martinez,Argentina,8,0
David Martinez,United States,11,0
Wagner da Conceicao Martins,Brazil,9,0
Adriano Martins,Brazil,28,0
Lucas Martins,Brazil,19,0
Max Martyniouk,Estonia,1,0
Bristol Marunde,United States,16,0
Shoji Maruyama,Japan,12,0
Kazuma Maruyama,Japan,11,0
Islem Masraf,France,3,0
Mike Massenzio,United States,13,0
Jameel Massouh,United States,26,0
Tiffany Masters,United States,2,0
Jorge Masvidal,United States,35,0
Al Matavao,American Samoa,8,0
Tateki Matsuda,Japan,13,0
Daijiro Matsui,Japan,13,0
Toki Matsui,Japan,6,0
Koichiro Matsumoto,Japan,15,0
Jean Matsumoto,Brazil,16,0
Koyomi Matsushima,Japan,13,0
Naoki Matsushita,Japan,12,0
AJ Matthews,United States,8,0
Jake Matthews,Australia,21,0
Connor Matthews,United States,7,0
Claudio Mattos,Brazil,5,0
John Matua,United States,1,0
Francesco Maturi,Canada,0,0
Vladimir Matyushenko,Belarus,27,0
Miranda Maverick,United States,17,0
Nick Maximov,United States,8,0
Elaina Maxwell,United States,7,0
Jeremy May,United States,13,0
Jack May,United States,9,0
Don'Tale Mayes,United States,11,0
Gray Maynard,United States,13,0
Brooke Mayo,United States,0,0
Gina Mazany,United States,7,0
Sabina Mazo,Colombia,9,0
Francesco Mazzeo,Italy,4,0
Scott McAfee,United States,14,0
Bobby McAndrews,United States,1,0
Michael McBride,United States,8,0
Ian McCall,United States,13,0
Molly McCann,England,14,0
Charles McCarthy,United States,10,0
Eric McConico,United States,9,0
Sean McCorkle,United States,17,0
Danni McCormack,Ireland,9,0
Kris McCray,United States,8,0
Tamdan McCrory,United States,14,0
Rob McCullough,United States,19,0
Justin McCully,United States,11,0
Robert McDaniel,United States,28,0
Michael McDonald,United States,17,0
Scott McDonald,United States,1,0
Josh McDonald,United States,9,0
Miles McDonald,United States,2,0
Justin McElfresh,United States,6,0
Drew McFedries,United States,12,0
Liam McGeary,England,12,0
Gan McGee,United States,13,0
Court McGee,United States,23,1
Marcus McGhee,United States,10,0
Ryan McGillivray,Canada,12,0
Ryan McGivern,United States,13,0
Jack McGlaughlin,Unlisted,1,0
Conor McGregor,Ireland,22,1
Greg McIntyre,United States,6,0
Antonio McKee,United States,29,0
AJ McKee,United States,8,0
Rhys McKee,Ireland,13,0
Cory McKenna,Wales,8,0
Tim McKenzie,United States,14,0
Cody McKenzie,United States,16,0
Terrance McKinney,United States,16,0
Brian McLaughlin,United States,6,0
Jason McLean,United States,6,0
Garreth McLellan,South Africa,13,0
Sara McMann,United States,13,0
Tommy McMillen,United States,6,0
James McSweeney,England,15,0
Charles McTorry,United States,3,0
Daniel McWilliams,United States,15,0
Tim Means,United States,33,0
Yancy Medeiros,United States,15,0
Anistavio Medeiros,Brazil,19,0
Kaline Medeiros,Brazil,8,0
MarQuel Mederos,United States,9,0
Uros Medic,United States,10,0
Todd Medina,United States,11,0
Jason Medina,United States,21,0
Jose Daniel Medina,Bolivia,11,0
Emil Meek,Norway,9,0
Sanford Alton Meeks,Cape Verde,1,0
Gerald Meerschaert,United States,37,0
Frank Megallon,United States,2,0
Derrick Mehmen,United States,19,0
Miika Mehmet,Finland,3,0
Jordan Mein,Canada,31,0
Bryce Mejia,Ghana,3,0
Brian Melancon,United States,7,0
Brandon Melendez,United States,25,0
Gilbert Melendez,United States,22,0
Nair Melikyan,Armenia,11,0
Marcelo Mello,Brazil,1,0
Fabio Mello,United States,11,0
Vanessa Melo,Brazil,11,0
Antonio Mendes,Brazil,18,0
Chad Mendes,United States,18,0
Augusto Mendes,Brazil,6,0
Eddie Mendez,United States,8,0
Mateus Mendonca,Brazil,10,0
Luis Mendoza,United States,0,0
Pietro Menga,England,13,0
Alonzo Menifield,United States,16,0
Ivan Menjivar,El Salvador,25,0
Dave Menne,United States,45,1
Steve Mensing,Germany,9,0
Buck Meredith,United States,3,0
Adam Meredith,United States,5,0
Nick Meregali,Brazil,0,0
Joe Merritt,United States,7,0
Jeremiah Metcalf,United States,13,0
Jonathan Meunier,Canada,8,0
Yaotzin Meza,United States,21,0
Guy Mezger,United States,30,0
Jonathan Micallef,Australia,8,0
Brandon Michaels,Philippines,4,0
Andreas Michailidis,Greece,13,0
David Michaud,United States,11,0
Chris Mickle,United States,30,0
Zachary Micklewright,United States,15,0
Kristof Midoux,France,6,0
Keith Mielke,United States,0,0
Chris Mierzwiak,United States,5,0
Gabriel Miglioli,Brazil,9,0
Bojan Mihajlovic,Serbia,10,0
Billy Miles,United States,2,0
Pat Miletich,United States,29,1
Curtis Millender,United States,17,0
Phillip Miller,United States,16,0
Jason Miller,United States,23,0
Dan Miller,United States,14,0
Jim Miller,United States,38,0
Cole Miller,United States,21,0
