name,nationality,wins,was_champion
Austin Bashi,United States,13,0
Stephen Bass,United States,11,0
Sean Bassett,United States,0,0
Ryan Bastianelli,United States,6,0
Shayna Baszler,United States,15,0
Michel Batista,United States,4,0
Bryan Battle,United States,13,0
Alan Baudot,France,8,0
Mario Bautista,United States,15,0
Chris Beal,United States,10,0
Donovan Beard,United States,7,0
Rudy Bears,United States,16,0
Salvador Becerra,United States,5,0
Ariel Beck,United States,4,0
Jeff Bedard,United States,13,0
Eric Bedard,United States,6,0
Johnny Bedford,United States,21,0
Rolando Bedoya,Peru,14,0
Chase Beebe,United States,24,0
Lyle Beerbohm,United States,24,0
Allan Begosso,Brazil,7,0
Azamat Bekoev,Russia,19,0
Mirsad Bektic,United States,13,0
Diana Belbita,Romania,15,0
Alan Belcher,United States,18,0
Vitor Belfort,Brazil,26,1
Yousri Belgaroui,Tunisia,8,0
Rodolfo Bellato,Brazil,12,0
Danilo Belluardo,Italy,12,0
Joey Beltran,United States,17,0
Marco Beltran,Mexico,8,0
Joseph Benavidez,United States,28,0
Mike Bencic,Croatia,1,0
Dave Beneteau,Canada,6,0
Karla Benitez,Venezuela,14,0
Gabriel Benitez,Mexico,23,0
Charles Bennett,United States,30,0
Josh Bennett,United States,11,0
DeAnna Bennett,United States,8,0
Benjamin Bennett,United States,7,0
Lance Benoist,United States,7,0
Joe Benoit,United States,11,0
Ryan Benoit,United States,10,0
Pat Benson,United States,3,0
Len Bentley,United States,10,0
Steve Berger,United States,21,0
Kenneth Bergh,Norway,8,0
Bret Bergmark,United States,6,0
Keith Berish,United States,5,0
Dennis Bermudez,United States,17,0
Manny Bermudez,United States,14,0
Talita Bernardo,Brazil,6,0
Dave Berry,United States,0,0
Keith Berry,United States,15,0
Dieusel Berto,Puerto Rico,0,0
Edson Berto,United States,17,0
Allen Berube,United States,4,0
Anton Berzin,United States,5,0
Scott Bessac,United States,4,0
Matt Bessette,United States,22,0
Khadzhi Bestaev,Unlisted,10,0
Fernando Bettega,Brazil,7,0
Arjan Bhullar,Canada,9,0
KB Bhullar,Canada,8,0
Bibulatov Magomed,Unlisted,14,0
David Bielkheden,Sweden,24,0
Blake Bilder,United States,8,0
Jonas Bilharinho,Brazil,9,0
Jeremiah Billington,United States,11,0
Scott Bills,United States,7,0
Anthony Birchak,United States,16,0
Chris Birchler,United States,7,0
Angad Bisht,India,10,0
Michael Bisping,England,30,1
Amaury Bitetti,Brazil,5,0
Caio Bittencourt,Unlisted,14,0
Davi Bittencourt,Brazil,14,0
Simon Biyong,Italy,7,0
Jan Blachowicz,Poland,29,1
Jason Black,United States,23,0
Brad Blackburn,United States,18,0
Jason Blackford,United States,3,0
Tom Blackledge,England,10,0
Sherrard Blackledge,United States,5,0
Da'Mon Blackshear,United States,15,0
Chasen Blair,United States,6,0
Erin Blanchfield,United States,13,0
Maximo Blanco,Venezuela,12,0
David Blanco,United States,2,0
Curtis Blaydes,United States,18,0
Tereza Bleda,Czech Republic,7,0
Arlene Blencowe,Australia,9,0
Byron Bloodworth,United States,6,0
Dashawn Boatwright,United States,3,0
Dan Bobish,United States,17,0
Mark Bocek,Canada,12,0
Kyle Bochniak,United States,8,0
James Bochnovic,United States,8,0
Jeremy Boczulak,United States,0,0
Tim Boetsch,United States,21,0
Galore Bofando,England,5,0
Jay Bogan,United States,6,0
Roman Bogatov,Russia,10,0
Derek Bohi,United States,8,0
Jerry Bohlander,United States,11,0
Mandy Bohm,Germany,8,0
Kotetsu Boku,Japan,25,0
Gaston Bolanos,United States,8,0
Kyle Bolt,United States,8,0
Denys Bondar,Ukraine,14,0
Luc Bondole,United States,5,0
Tony Bonello,United States,16,0
Gabriel Bonfim,Brazil,17,0
Ismael Bonfim,Brazil,20,0
Jesse Bongfeldt,Canada,16,0
Marcos Bonilla,United States,4,0
Stephan Bonnar,United States,15,0
Rogerio Bontorin,Brazil,16,0
Ray Borg,United States,13,0
Igor Borisov,Russia,1,0
Kevin Borjas,Peru,9,0
Calen Born,United States,7,0
Caio Borralho,Brazil,17,0
Zachary Borrego,United States,3,0
Viacheslav Borshchev,United States,8,0
Tanner Boser,Canada,21,0
Steve Bosse,Canada,12,0
Marcus Bossett,United States,1,0
Chris Bostick,United States,6,0
Poliana Botelho,Brazil,8,0
Francois Botha,South Africa,0,0
Gregory Bouchelaghem,France,5,0
Roy Boughton,United States,14,0
Rich Bouphanouvong,United States,1,0
Mike Bourke,United States,10,0
Jess Bouscal,United States,3,0
Tai Bowden,United States,1,0
Melton Bowen,United States,0,0
Kyron Bowen,United States,9,0
Brian Bowles,United States,10,0
Roger Bowling,United States,12,0
Blake Bowman,United States,2,0
Ashe Bowman,United States,9,0
Anvar Boynazarov,Uzbekistan,3,0
Colley  Bradford,Unlisted,0,0
Kyle Bradley,United States,19,0
Paul Bradley,United States,23,0
Sean Brady,United States,17,0
Ebenezer Fontes Braga,Brazil,13,0
Ramiz Brahimaj,United States,11,0
Adam Bramhald,England,13,0
Joe Brammer,United States,7,0
David Branch,United States,22,0
Billy Brand,United States,5,0
Diego Brandao,Brazil,22,1
Bruna Brasil,Brazil,10,0
Michael Bravo,United States,7,0
Martin Bravo,Mexico,11,1
Roman Bravo-Young,Mexico,0,0
Mike Breeden,United States,11,0
Tom Breese,England,12,0
Elves Brener,Brazil,16,0
Chris Brennan,United States,21,0
Charlie Brenneman,United States,19,0
Robert Breslin,United States,3,0
Mack Brewer,United States,0,0
Marcos Brigagao,Brazil,11,0
Jason Brilz,United States,22,0
Marcus Brimage,United States,7,0
Aaron Brink,United States,26,0
Henry Briones,Mexico,16,0
Marcelo Brito,Brazil,13,0
Joanderson Brito,Brazil,17,0
Kaik Brito,Brazil,16,0
Icaro Brito,Brazil,7,0
